45	47	73	71
47	65	74	73
65	46	72	74
30	32	77	75
32	31	76	77
31	49	79	76
49	48	78	79
30	75	72	46
76	79	80	77
78	81	80	79
75	77	80	82
80	81	83	82
72	84	73	74
71	73	84	85
72	75	82	84
82	83	85	84
18	11	86	88
54	15	87	89
15	43	91	87
58	18	88	90
11	54	89	86
58	90	92	61
86	94	93	88
86	89	95	94
87	91	95	89
88	93	92	90
16	96	91	43
59	61	92	99
91	96	100	95
92	93	98	99
93	94	97	98
94	95	100	97
16	37	105	96
37	45	71	105
48	60	101	78
59	99	101	60
71	85	104	105
78	101	102	81
81	102	103	83
83	103	104	85
96	105	104	100
97	103	102	98
97	100	104	103
98	102	101	99
14	42	44	20
42	13	19	44
2	3	45	47
6	22	46	23
50	4	17	67
38	66	67	17
20	9	66	38
44	40	9	20
19	1	40	44
5	53	7	8
56	36	8	7
52	14	36	56
57	42	14	52
51	13	42	57
39	60	59	12
34	48	60	39
41	61	58	10
12	59	61	41
6	23	24	21
21	24	63	62
34	33	62	63
23	26	27	24
24	27	28	31
24	31	49	63
48	34	63	49
47	65	64	2
65	46	22	64
66	37	45	67
9	16	37	66
40	43	16	9
1	15	43	40
3	50	67	45
10	58	18	68
15	1	55	54
18	11	69	68
13	51	70	19
55	1	19	70
46	25	26	23
25	46	30	29
30	32	35	29
31	28	35	32
4	5	8	17
8	36	38	17
36	14	20	38
7	34	39	56
12	52	56	39
12	41	57	52
10	51	57	41
10	68	70	51
55	70	68	69
11	54	55	69
7	53	33	34
114	137	136	111
128	134	133	121
134	114	111	133
115	119	149	142
107	150	149	119
151	106	123	156
135	157	163	148
158	133	111	153
166	121	133	158
159	140	148	163
161	139	140	159
106	151	160	136
153	111	136	160
107	124	127	150
132	157	152	110
138	163	157	132
141	159	163	138
112	161	159	141
109	167	168	113
167	115	142	168
113	146	171	169
168	113	169	172
142	168	172	170
150	149	173	174
162	150	174	175
165	162	175	176
166	165	176	177
142	170	173	149
174	178	176	175
176	178	179	177
173	180	178	174
178	180	181	179
169	182	170	172
169	171	183	182
180	182	183	181
170	182	180	173
156	151	185	187
164	155	186	188
147	164	188	184
151	160	190	185
185	190	193	187
186	187	193	192
184	188	191	189
186	192	191	188
144	147	184	189
143	144	189	194
153	197	190	160
189	191	198	194
190	197	196	193
191	192	195	198
192	193	196	195
143	194	203	145
145	203	171	146
153	158	199	197
158	166	177	199
171	203	202	183
177	179	200	199
179	181	201	200
181	183	202	201
194	198	202	203
195	196	200	201
195	201	202	198
196	197	199	200
121	205	208	128
205	130	116	208
130	205	206	117
205	121	166	206
131	209	207	118
209	165	162	207
117	206	209	131
206	166	165	209
140	211	210	148
211	137	114	210
139	213	211	140
148	210	212	135
210	114	134	212
128	214	212	134
212	214	215	135
152	157	135	215
108	217	216	154
217	110	152	216
145	220	218	146
220	132	110	218
143	219	220	145
219	138	132	220
144	221	219	143
221	141	138	219
147	223	221	144
223	112	141	221
112	223	224	161
223	147	164	224
161	224	225	139
224	164	155	225
226	217	108	222
217	226	218	110
155	156	187	186
123	156	155	225
123	213	139	225
152	215	227	216
120	227	215	214
122	154	216	227
122	227	127	124
120	204	127	227
120	129	125	204
109	113	226	222
113	146	218	226
120	214	128	208
116	129	120	208
137	211	213	228
228	106	136	137
106	228	213	123
125	204	229	126
118	126	229	207
127	204	229	150
150	162	207	229
341	235	237	342
235	232	234	237
232	241	243	234
237	247	346	342
234	230	247	237
230	234	243	239
245	235	341	340
244	232	235	245
246	241	232	244
247	236	343	346
230	233	236	247
233	230	239	242
241	250	252	243
252	248	239	243
253	250	241	246
248	251	242	239
251	248	255	254
250	253	258	252
252	258	255	248
238	261	260	231
334	335	261	238
240	262	259	249
231	260	262	240
356	270	269	355
270	266	264	269
266	273	272	264
236	280	351	343
233	278	280	236
242	279	278	233
251	281	279	242
271	284	289	282
285	269	264	283
336	355	269	285
286	276	282	289
288	275	276	286
263	378	287	272
283	264	272	287
268	284	352	348
274	289	284	268
277	286	289	274
265	288	286	277
251	254	291	281
259	262	287	378
260	283	287	262
260	261	285	283
335	336	285	261
315	316	317	306
306	317	318	308
307	308	318	320
307	320	321	319
298	307	319	323
327	316	315	326
330	327	326	331
335	319	321	336
335	334	323	319
361	318	312	359
360	320	318	361
362	321	320	360
364	336	321	362
355	363	365	356
363	355	336	364
366	349	312	359
367	348	352	368
352	369	349	368
349	369	370	366
356	365	366	370
282	372	371	271
372	266	270	371
276	373	372	282
373	273	266	372
270	356	370	371
263	267	374	378
275	375	373	276
259	378	374	376
249	259	376	256
256	376	377	257
280	379	380	351
379	268	348	380
278	381	379	280
381	274	268	379
279	382	381	278
382	277	274	381
281	383	382	279
383	265	277	382
265	383	385	288
383	281	291	385
288	385	384	275
385	291	290	384
367	387	380	348
238	245	340	334
231	244	245	238
231	240	246	244
240	249	253	246
249	256	258	253
255	258	256	257
254	255	257	377
254	377	290	291
290	377	376	374
267	384	290	374
267	375	275	384
330	331	343	351
330	351	380	387
263	388	375	267
273	373	375	388
272	273	388	263
271	369	352	284
369	271	371	370
311	361	359	310
299	360	361	311
313	362	360	299
332	364	362	313
363	358	354	365
358	363	364	332
365	354	357	366
357	366	359	310
315	301	302	297
301	315	306	305
306	308	314	305
307	304	314	308
297	302	303	298
298	303	304	307
296	300	317	316
292	318	317	300
292	309	312	318
325	296	316	327
328	325	327	330
309	312	349	350
347	367	368	353
349	350	353	368
387	367	347	386
328	330	387	386
293	295	315	297
293	297	298	294
294	298	323	322
326	315	295	324
331	326	324	329
334	333	322	323
338	339	341	342
344	338	342	346
339	345	340	341
337	344	346	343
329	337	343	331
333	334	340	345
